iter	Passed	Remaining
421	2115	2897
422	2118	2890
423	2122	2883
424	2126	2877
425	2130	2870
426	2134	2864
427	2138	2857
428	2141	2850
429	2145	2844
430	2149	2837
431	2153	2831
432	2157	2825
433	2161	2818
434	2164	2812
435	2168	2805
436	2172	2799
437	2177	2793
438	2181	2787
439	2185	2781
440	2189	2775
441	2193	2769
442	2197	2762
443	2201	2756
444	2204	2749
445	2208	2743
446	2212	2737
447	2216	2730
448	2220	2724
449	2223	2718
450	2227	2711
451	2231	2705
452	2235	2699
453	2240	2694
454	2244	2688
455	2249	2683
456	2253	2677
457	2258	2672
458	2262	2666
459	2267	2661
460	2272	2656
461	2276	2651
462	2280	2644
463	2284	2638
464	2288	2632
465	2292	2626
466	2295	2620
467	2300	2614
468	2304	2608
469	2308	2602
470	2312	2596
471	2316	2591
472	2321	2586
473	2325	2581
474	2330	2575
475	2334	2569
476	2338	2563
477	2342	2557
478	2345	2551
479	2349	2545
480	2353	2539
481	2356	2532
482	2360	2527
483	2364	2520
484	2368	2514
485	2372	2508
486	2376	2503
487	2380	2497
488	2384	2491
489	2387	2485
490	2391	2479
491	2395	2473
492	2399	2467
493	2403	2461
494	2407	2456
495	2411	2450
496	2414	2444
497	2418	2438
498	2422	2432
499	2426	2426
500	2430	2420
501	2434	2414
502	2438	2409
503	2441	2403
504	2445	2397
505	2449	2391
506	2454	2386
507	2458	2381
508	2462	2375
509	2466	2369
510	2470	2364
511	2474	2358
512	2478	2352
513	2482	2347
514	2486	2341
515	2490	2335
516	2494	2330
517	2498	2324
518	2501	2318
519	2505	2312
520	2509	2307
521	2513	2301
522	2517	2296
523	2521	2290
524	2525	2284
525	2529	2279
526	2532	2273
527	2536	2267
528	2540	2261
529	2544	2256
530	2548	2250
531	2551	2244
532	2555	2239
533	2559	2233
534	2563	2228
535	2567	2222
536	2571	2217
537	2575	2211
538	2579	2205
539	2582	2200
540	2586	2194
541	2590	2189
542	2594	2183
543	2598	2178
544	2602	2172
545	2606	2167
546	2609	2161
547	2613	2155
548	2617	2150
549	2621	2144
550	2625	2139
551	2629	2134
552	2633	2128
553	2637	2123
554	2640	2117
555	2644	2111
556	2648	2106
557	2652	2100
558	2656	2095
559	2659	2089
560	2663	2084
561	2667	2079
562	2671	2073
563	2675	2068
564	2679	2063
565	2683	2057
566	2687	2052
567	2691	2046
568	2695	2041
569	2699	2036
570	2703	2031
571	2708	2026
572	2712	2021
573	2716	2015
574	2720	2011
575	2725	2005
576	2730	2001
577	2735	1996
578	2739	1991
579	2743	1986
580	2747	1981
581	2750	1975
582	2754	1970
583	2758	1965
584	2763	1960
585	2768	1955
586	2773	1951
587	2777	1946
588	2782	1941
589	2787	1937
590	2792	1932
591	2796	1927
592	2800	1921
593	2804	1916
594	2808	1911
595	2812	1906
596	2816	1900
597	2819	1895
598	2823	1890
599	2827	1885
600	2831	1879
601	2835	1874
602	2840	1870
603	2844	1864
604	2848	1859
605	2852	1854
606	2856	1849
607	2859	1843
608	2863	1838
609	2867	1833
610	2872	1828
611	2876	1823
612	2879	1818
613	2883	1813
614	2887	1807
615	2891	1802
616	2895	1797
617	2899	1792
618	2903	1786
619	2906	1781
620	2910	1776
621	2914	1771
622	2918	1766
623	2922	1761
624	2926	1755
625	2930	1750
626	2933	1745
627	2937	1740
628	2941	1735
629	2948	1731
630	2952	1726
631	2956	1721
632	2959	1716
633	2963	1710
634	2967	1705
635	2971	1700
636	2975	1695
637	2979	1690
638	2983	1685
639	2987	1680
640	2990	1675
641	2994	1670
642	2998	1664
643	3002	1659
644	3006	1654
645	3010	1649
646	3014	1644
647	3018	1639
648	3022	1634
649	3026	1629
650	3029	1624
651	3033	1619
652	3037	1614
653	3041	1609
654	3045	1604
655	3049	1599
656	3053	1594
657	3058	1589
658	3061	1584
659	3065	1579
660	3069	1574
661	3073	1569
662	3077	1564
663	3081	1559
664	3085	1554
665	3088	1549
666	3092	1544
667	3096	1539
668	3100	1534
669	3104	1529
670	3108	1524
671	3112	1519
672	3116	1514
673	3120	1509
674	3124	1504
675	3128	1499
676	3131	1494
677	3135	1489
678	3139	1484
679	3143	1479
680	3147	1474
681	3151	1469
682	3154	1464
683	3158	1459
684	3162	1454
685	3167	1449
686	3172	1445
687	3177	1440
688	3181	1435
689	3186	1431
690	3190	1426
691	3194	1421
692	3198	1417
693	3202	1412
694	3206	1407
695	3211	1402
696	3216	1398
697	3220	1393
698	3223	1388
699	3228	1383
700	3233	1379
701	3238	1374
702	3242	1369
703	3247	1365
704	3252	1360
705	3256	1356
706	3261	1351
707	3265	1346
708	3269	1341
709	3273	1337
710	3277	1332
711	3281	1327
712	3284	1322
713	3288	1317
714	3292	1312
715	3296	1307
716	3300	1302
717	3304	1297
718	3308	1293
719	3312	1288
720	3316	1283
721	3320	1278
722	3324	1273
723	3328	1268
724	3332	1264
725	3336	1259
726	3340	1254
727	3343	1249
728	3348	1244
729	3352	1239
730	3356	1234
731	3360	1230
732	3364	1225
733	3367	1220
734	3371	1215
735	3375	1210
736	3379	1206
737	3384	1201
738	3387	1196
739	3391	1191
740	3396	1187
741	3400	1182
742	3404	1177
743	3407	1172
744	3411	1167
745	3415	1163
746	3419	1158
747	3423	1153
748	3427	1148
749	3431	1143
750	3435	1138
751	3439	1134
752	3443	1129
753	3446	1124
754	3450	1119
755	3454	1115
756	3458	1110
757	3462	1105
758	3466	1100
759	3470	1095
760	3474	1091
761	3478	1086
762	3482	1081
763	3486	1076
764	3490	1072
765	3494	1067
766	3498	1062
767	3502	1057
768	3506	1053
769	3510	1048
770	3513	1043
771	3517	1038
772	3521	1034
773	3525	1029
774	3529	1024
775	3533	1019
776	3536	1015
777	3540	1010
778	3544	1005
779	3548	1000
780	3552	996
781	3556	991
782	3560	986
783	3563	981
784	3567	977
785	3571	972
786	3575	967
787	3579	962
788	3583	958
789	3587	953
790	3591	948
791	3595	944
792	3599	939
793	3603	934
794	3607	930
795	3611	925
796	3615	920
797	3619	916
798	3623	911
799	3627	906
800	3630	902
801	3634	897
802	3638	892
803	3642	888
804	3646	883
805	3650	878
806	3655	874
807	3662	870
808	3668	866
809	3673	861
810	3678	857
811	3683	852
812	3687	848
813	3694	844
814	3698	839
815	3703	835
816	3709	830
817	3714	826
818	3719	821
819	3724	817
820	3728	812
821	3733	808
822	3737	803
823	3741	799
824	3745	794
825	3749	789
826	3753	785
827	3757	780
828	3761	775
829	3764	771
830	3768	766
831	3773	761
832	3776	757
833	3780	752
834	3784	747
835	3788	743
836	3792	738
837	3796	733
838	3799	729
839	3803	724
840	3807	719
841	3810	715
842	3814	710
843	3818	705
844	3822	701
845	3826	696
846	3830	691
847	3834	687
848	3838	682
849	3841	677
850	3845	673
851	3851	668
852	3855	664
853	3858	659
854	3862	655
855	3867	650
856	3871	646
857	3875	641
858	3879	636
859	3883	632
860	3889	627
861	3892	623
862	3897	618
863	3901	614
864	3906	609
865	3910	605
866	3914	600
867	3919	595
868	3923	591
869	3927	586
870	3931	582
871	3936	577
872	3940	573
873	3944	568
874	3948	564
875	3952	559
876	3957	554
877	3961	550
878	3964	545
879	3968	541
880	3972	536
881	3976	532
882	3980	527
883	3984	522
884	3988	518
885	3992	513
886	3996	509
887	4000	504
888	4004	500
889	4008	495
890	4012	490
891	4016	486
892	4020	481
893	4024	477
894	4028	472
895	4032	468
896	4035	463
897	4039	458
898	4043	454
899	4047	449
900	4051	445
901	4055	440
902	4059	436
903	4063	431
904	4067	426
905	4070	422
906	4075	417
907	4079	413
908	4083	408
909	4087	404
910	4091	399
911	4094	395
912	4098	390
913	4102	386
