iter	Logloss
0	0.6793907907
1	0.6675645433
2	0.6564439909
3	0.6450038963
4	0.6353360338
5	0.6256360164
6	0.6163264588
7	0.6079859708
8	0.6002795522
9	0.5922989622
10	0.5847279478
11	0.5776792575
12	0.5703627677
13	0.5638171086
14	0.558597762
15	0.5532777029
16	0.5476824695
17	0.5422804599
18	0.5370588123
19	0.5320232496
20	0.5270966004
21	0.5231265718
22	0.5184372782
23	0.5148746422
24	0.5110237339
25	0.5078941555
26	0.5047131295
27	0.5016364738
28	0.498941841
29	0.4959681397
30	0.4931820574
31	0.4907738975
32	0.4876714589
33	0.4853465475
34	0.4825608782
35	0.4800941021
36	0.4780154848
37	0.4761257255
38	0.4740135374
39	0.4717960643
40	0.4687797063
41	0.4663089477
42	0.4638677775
43	0.4620173119
44	0.4605376593
45	0.4575533086
46	0.4553672824
47	0.4529966167
48	0.4511190703
49	0.4497257931
50	0.4483203326
51	0.4466849208
52	0.4449796829
53	0.4434251006
54	0.4417436986
55	0.4406852446
56	0.4392140583
57	0.4374650132
58	0.4354105858
59	0.4335241599
60	0.4318602513
61	0.4304780365
62	0.4285917877
63	0.4265525527
64	0.4254025606
65	0.4242140713
66	0.4230926646
67	0.4216822481
68	0.4207221465
69	0.4193312883
70	0.4182055747
71	0.4162330093
72	0.4155431262
73	0.4145836146
74	0.4133777794
75	0.4118341121
76	0.411219542
77	0.4104428409
78	0.4094084882
79	0.4085709289
80	0.4072216065
81	0.4063636924
82	0.4049056336
83	0.4037912183
84	0.403061894
85	0.401547815
86	0.4003501217
87	0.3995651016
88	0.3985163826
89	0.3973267723
90	0.3956978209
91	0.3941733875
92	0.3924162299
93	0.3917213908
94	0.390807191
95	0.3899631712
96	0.3895273112
97	0.3883601208
98	0.3872484785
99	0.3864415696
100	0.3858770312
101	0.3850492954
102	0.38458131
103	0.3836763731
104	0.3831550521
105	0.3825015128
106	0.3821159499
107	0.3814319373
108	0.3806665641
109	0.379964173
110	0.3789695566
111	0.3783897964
112	0.3778233701
113	0.3771679428
114	0.3766567107
115	0.3762408515
116	0.3757534258
117	0.3752392142
118	0.3745450536
119	0.3740883371
120	0.3735192558
121	0.3731888577
122	0.372699308
123	0.3719564726
